filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,‰æ‘œƒTƒCƒY,35mmŠ·ŽZ,—j“ú,“ú•t,ŽžŠÔ‘Ñ,happy_tf,male_tf,distance,—j“ú_tf
A7300025,2,13,female,0,0,0,0,0,0.965,0.035,0,35.66035645,139.6970661,164,34,“ú,2019/12/8,1,0,0,5.348,1
A7300025-1221-1,2,28,female,0,0,0,0,0,0.905,0.095,0,35.65911819,139.6992994,83,34,“y,2019/12/21,1,0,0,10.534,1
A7300025-1221-1,3,14,female,0.005,0.001,0.004,0,0,0.988,0.001,0,35.65911819,139.6992994,81,34,“y,2019/12/21,1,0,0,10.794,1
A7300026,1,54,female,0,0,0,0.001,0,0.962,0.028,0.008,35.66032642,139.6971848,186,34,“ú,2019/12/8,1,0,0,4.72,1
A7300026,2,61,female,0,0,0,0,0.75,0.249,0,0.001,35.66032642,139.6971848,183,34,“ú,2019/12/8,1,1,0,4.796,1
A7300026,4,23,female,0.032,0.001,0.001,0,0.009,0.939,0.019,0,35.66032642,139.6971848,85,34,“ú,2019/12/8,1,0,0,10.287,1
A7300026-1221-1,2,15,female,0.001,0,0,0,0,0.955,0.01,0.033,35.6592361,139.6992115,58,34,“y,2019/12/21,1,0,0,15.06,1
A7300026-1221-1,3,56,female,0,0.005,0,0,0.004,0.982,0.009,0,35.6592361,139.6992115,55,34,“y,2019/12/21,1,0,0,15.88,1
A7300027,1,22,female,0.001,0.008,0,0,0.171,0.816,0.003,0.001,35.66028957,139.6973643,360,34,“ú,2019/12/8,1,0,0,2.455,1
A7300027,3,28,female,0,0,0,0,0.889,0.111,0,0,35.66028957,139.6973643,132,34,“ú,2019/12/8,1,1,0,6.637,1
A7300027,5,42,female,0,0,0,0,0,0.999,0,0,35.66028957,139.6973643,70,34,“ú,2019/12/8,1,0,0,12.484,1
A7300027,7,16,female,0,0,0,0,0,0.996,0.003,0,35.66028957,139.6973643,48,34,“ú,2019/12/8,1,0,0,18.191,1
A7300028,1,10,female,0,0,0,0,0.01,0.855,0.134,0,35.66036306,139.69761,353,34,“ú,2019/12/8,1,0,0,2.503,1
A7300028,2,22,female,0,0.001,0,0,0.071,0.901,0.003,0.024,35.66036306,139.69761,89,34,“ú,2019/12/8,1,0,0,9.827,1
A7300028,4,25,female,0,0,0,0,0,0.986,0.014,0,35.66036306,139.69761,76,34,“ú,2019/12/8,1,0,0,11.502,1
A7300028-1221-1,1,8,female,0,0,0,0,0,1,0,0,35.65925302,139.6988291,74,34,“y,2019/12/21,1,0,0,11.811,1
A7300029-1221-1,1,19,female,0,0.002,0,0,0.218,0.779,0.001,0,35.65921209,139.6986664,401,34,“y,2019/12/21,1,0,0,2.207,1
A7300029-1221-1,3,18,female,0,0,0,0,0.004,0.977,0.018,0,35.65921209,139.6986664,126,34,“y,2019/12/21,1,0,0,6.951,1
A7300030-1221-1,2,19,female,0,0,0,0,0,0.995,0.005,0,35.65921032,139.6985655,62,34,“y,2019/12/21,1,0,0,14.091,1
A7300031,2,21,female,0,0,0,0,0.002,0.997,0,0,35.65982472,139.6976775,217,34,“ú,2019/12/8,1,0,0,4.05,1
A7300031,3,48,female,0,0.021,0,0,0.44,0.536,0.003,0,35.65982472,139.6976775,207,34,“ú,2019/12/8,1,0,0,4.244,1
A7300031,5,35,female,0,0,0,0,0,0.997,0,0.003,35.65982472,139.6976775,71,34,“ú,2019/12/8,1,0,0,12.309,1
A7300031-1221-1,3,24,female,0,0,0,0,0.548,0.451,0,0,35.65909381,139.6983444,109,34,“y,2019/12/21,1,1,0,8.03,1
A7300032,2,17,female,0,0,0,0,0,0.994,0,0.006,35.65957222,139.6977142,123,34,“ú,2019/12/8,1,0,0,7.12,1
A7300032,3,17,female,0,0.001,0,0,0,0.985,0.001,0.013,35.65957222,139.6977142,118,34,“ú,2019/12/8,1,0,0,7.42,1
A7300032,4,25,female,0.001,0,0.002,0,0.002,0.984,0.01,0,35.65957222,139.6977142,55,34,“ú,2019/12/8,1,0,0,15.88,1
A7300032,5,21,female,0,0.001,0,0,0,0.993,0.005,0,35.65957222,139.6977142,47,34,“ú,2019/12/8,1,0,0,18.577,1
A7300032-1221-1,1,34,female,0,0,0,0,0,0.999,0.001,0,35.65904468,139.6980625,36,34,“y,2019/12/21,1,0,0,24.243,1
A7300033,1,25,female,0.002,0.006,0.002,0,0.025,0.963,0.001,0,35.65938,139.6977386,214,34,“ú,2019/12/8,1,0,0,4.107,1
A7300033-1221-1,1,19,female,0,0,0,0,0,0.99,0.009,0,35.65893472,139.6979381,65,34,“y,2019/12/21,1,0,0,13.442,1
A7300034,1,18,female,0,0,0,0,0,0.957,0.042,0,35.65914587,139.697839,237,34,“ú,2019/12/8,1,0,0,3.711,1
A7300034,4,26,female,0,0,0,0,0,0.992,0.007,0,35.65914587,139.697839,53,34,“ú,2019/12/8,1,0,0,16.478,1
A7300034,5,23,female,0,0,0,0,0.018,0.979,0.001,0.002,35.65914587,139.697839,47,34,“ú,2019/12/8,1,0,0,18.577,1
A7300034-1221-1,1,24,female,0,0,0,0,0,0.999,0,0,35.65900833,139.6979908,128,34,“y,2019/12/21,1,0,0,6.843,1
A7300034-1221-1,4,23,female,0,0,0,0,0,0.97,0.004,0.025,35.65900833,139.6979908,41,34,“y,2019/12/21,1,0,0,21.291,1
A7300035,1,37,female,0.001,0.002,0,0,0,0.496,0.501,0,35.65917809,139.6979694,261,34,“ú,2019/12/8,1,0,0,3.373,1
A7300036-1221-1,1,24,female,0,0.003,0,0,0,0.978,0.019,0,35.65904556,139.6982781,88,34,“y,2019/12/21,1,0,0,9.938,1
A7300037,2,18,female,0,0,0,0,0,0.999,0.001,0,35.65929861,139.6984269,184,34,“ú,2019/12/8,1,0,0,4.771,1
A7300037,3,28,female,0,0,0,0,0,0.955,0.045,0,35.65929861,139.6984269,146,34,“ú,2019/12/8,1,0,0,6.003,1
A7300037,4,34,female,0.001,0,0.002,0,0.162,0.17,0.665,0,35.65929861,139.6984269,102,34,“ú,2019/12/8,1,0,0,8.578,1
A7300037,6,18,female,0.04,0.001,0.004,0.002,0.01,0.851,0.003,0.088,35.65929861,139.6984269,70,34,“ú,2019/12/8,1,0,0,12.484,1
A7300037-1221-1,6,19,female,0,0,0,0,0.888,0.112,0.001,0,35.65891778,139.6983933,47,34,“y,2019/12/21,1,1,0,18.577,1
A7300039,2,28,female,0,0,0,0,0,0.979,0.015,0.006,35.65940884,139.6989195,102,34,“ú,2019/12/8,1,0,0,8.578,1
A7300040,1,26,female,0,0,0,0,0,0.9,0.099,0,35.65950337,139.6990961,401,34,“ú,2019/12/8,1,0,0,2.207,1
A7300040,2,20,female,0,0,0,0,0,0.999,0,0,35.65950337,139.6990961,129,34,“ú,2019/12/8,1,0,0,6.79,1
A7300041,1,20,female,0,0,0,0,0,0.992,0.005,0.003,35.6594975,139.6994256,161,34,“ú,2019/12/8,1,0,0,5.447,1
A7300041,2,20,female,0,0,0,0,0.01,0.987,0.002,0,35.6594975,139.6994256,106,34,“ú,2019/12/8,1,0,0,8.256,1
A7300041,5,18,female,0,0,0,0,0.952,0.046,0.002,0,35.6594975,139.6994256,90,34,“ú,2019/12/8,1,1,0,9.718,1
A7300041,7,19,female,0,0,0,0,0.001,0.989,0.01,0,35.6594975,139.6994256,71,34,“ú,2019/12/8,1,0,0,12.309,1
A7300042,1,28,female,0,0.002,0,0,0.042,0.955,0,0,35.65950628,139.6991929,93,34,“ú,2019/12/8,1,0,0,9.405,1
A7300042,2,20,female,0,0,0.001,0,0.917,0.015,0.066,0,35.65950628,139.6991929,84,34,“ú,2019/12/8,1,1,0,10.409,1
A7300044,3,27,female,0.002,0.001,0,0.078,0.001,0.786,0.008,0.124,35.65939256,139.6988234,53,34,“ú,2019/12/8,1,0,0,16.478,1
A7300045,2,36,female,0,0.001,0,0,0,0.954,0.043,0.002,35.65933653,139.6986013,170,34,“ú,2019/12/8,1,0,0,5.161,1
A7300045,3,23,female,0,0,0,0,0.019,0.882,0.099,0,35.65933653,139.6986013,59,34,“ú,2019/12/8,1,0,0,14.806,1
