filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,âÊëúÉTÉCÉY,35mmä∑éZ,ójì˙,ì˙ït,éûä‘ë—,ìyì˙_tf,èÍèä
A7300222,1,22,female,0.001,0.003,0,0.003,0.007,0.926,0.01,0.049,35.65961083,139.7022903,77,70,ì˙,2019/12/8,1,1,ã{âvç‚
A7300223,1,35,male,0,0,0,0,0,0.999,0.001,0,35.65961528,139.7023628,57,70,ì˙,2019/12/8,1,1,ã{âvç‚
A7300225,1,44,male,0,0,0,0,0,0.985,0.015,0,35.659825,139.7022933,60,70,ì˙,2019/12/8,1,1,ã{âvç‚
A7300227,1,25,female,0,0,0,0,0,0.999,0.001,0,35.65977528,139.70232,60,49,ì˙,2019/12/8,1,1,ã{âvç‚
A7300228,1,26,female,0.004,0.001,0.001,0.002,0.001,0.963,0.009,0.019,35.65941583,139.7022667,101,62,ì˙,2019/12/8,1,1,ã{âvç‚
A7300229,1,38,male,0,0,0,0.059,0,0.053,0,0.887,35.65973722,139.7025075,125,69,ì˙,2019/12/8,1,1,ã{âvç‚
A7300230,1,29,male,0,0,0,0,0,0.998,0.001,0.001,35.65970222,139.7025433,131,70,ì˙,2019/12/8,1,1,ã{âvç‚
A7300231,1,47,male,0.002,0.002,0,0,0,0.992,0.002,0.001,35.6596925,139.7025483,57,70,ì˙,2019/12/8,1,1,ã{âvç‚
A7300232,1,43,male,0,0,0,0.011,0.001,0.444,0.002,0.541,35.65972889,139.7025378,58,70,ì˙,2019/12/8,1,1,ã{âvç‚
A7300233,1,20,male,0,0,0,0,0,0.947,0.052,0,35.65976528,139.7024314,88,70,ì˙,2019/12/8,1,1,ã{âvç‚
A7300237,1,32,female,0,0,0,0.002,0,0.884,0.107,0.007,35.65949306,139.7025264,113,70,ì˙,2019/12/8,1,1,ã{âvç‚
A7300240,1,49,male,0.001,0,0,0,0,0.994,0.005,0,35.65945806,139.7026058,110,36,ì˙,2019/12/8,1,1,ã{âvç‚
A7300241,1,48,male,0.001,0,0,0,0,0.989,0.01,0,35.65945806,139.7026058,150,36,ì˙,2019/12/8,1,1,ã{âvç‚
A7300242,1,22,male,0.012,0.004,0,0,0,0.98,0.004,0,35.65949083,139.7026536,355,35,ì˙,2019/12/8,1,1,ã{âvç‚
A7300243,1,41,male,0,0,0,0,0.003,0.867,0,0.13,35.65952778,139.7026356,77,35,ì˙,2019/12/8,1,1,ã{âvç‚
A7300244,1,20,male,0,0.001,0,0,0.199,0.798,0,0.002,35.65955778,139.7026233,521,35,ì˙,2019/12/8,1,1,ã{âvç‚
A7300246,1,48,male,0,0.011,0,0,0,0.968,0.02,0,35.65957861,139.7024608,249,35,ì˙,2019/12/8,1,1,ã{âvç‚
A7300247,1,19,male,0,0,0,0,1,0,0,0,35.65958472,139.7024064,462,35,ì˙,2019/12/8,1,1,ã{âvç‚
A7300248,1,41,female,0,0.001,0,0,0.417,0.551,0.026,0.005,35.65958556,139.7023308,90,35,ì˙,2019/12/8,1,1,ã{âvç‚
A7300249,1,22,female,0,0.001,0,0,0.001,0.668,0.33,0,35.65953528,139.7022614,171,34,ì˙,2019/12/8,1,1,ã{âvç‚
A7300250,1,29,female,0.003,0.011,0.003,0,0.202,0.779,0.002,0,35.65948945,139.7023661,108,34,ì˙,2019/12/8,1,1,ã{âvç‚
A7300251,1,28,female,0.001,0,0,0.002,0.021,0.911,0.032,0.033,35.6594775,139.7022961,190,34,ì˙,2019/12/8,1,1,ã{âvç‚
A7300252,1,18,male,0,0,0,0,0,0.996,0.002,0.001,35.65942222,139.7022692,97,34,ì˙,2019/12/8,1,1,ã{âvç‚
A7300254,1,24,female,0,0.002,0,0,0,0.997,0.001,0,35.65968222,139.7024117,85,40,ì˙,2019/12/8,1,1,ã{âvç‚
A7300255,1,31,female,0,0,0,0,0,0.873,0.126,0,35.65964583,139.7025383,437,40,ì˙,2019/12/8,1,1,ã{âvç‚
A7300256,1,20,male,0.001,0.001,0,0,0,0.937,0.061,0,35.65964667,139.702655,235,40,ì˙,2019/12/8,1,1,ã{âvç‚
A7300257,1,28,male,0,0,0,0,0.851,0.147,0.002,0,35.65962972,139.7027161,220,40,ì˙,2019/12/8,1,1,ã{âvç‚
DSC01539,1,13,female,0,0,0,0,0.121,0.878,0,0,35.65938306,139.7022214,100,105,ìy,2019/12/7,2,1,ã{âvç‚
DSC01540,1,19,male,0,0,0,0,0,0.952,0,0.047,35.65940556,139.7022283,109,105,ìy,2019/12/7,2,1,ã{âvç‚
DSC01541,1,42,female,0,0.001,0,0,0,0.747,0.251,0.001,35.65944,139.7023428,193,35,ìy,2019/12/7,2,1,ã{âvç‚
DSC01542,1,20,male,0,0,0,0,0.999,0,0,0,35.65944195,139.7024094,468,35,ìy,2019/12/7,2,1,ã{âvç‚
DSC01543,1,25,male,0,0,0,0,0.999,0.001,0,0,35.65947111,139.7024722,342,35,ìy,2019/12/7,2,1,ã{âvç‚
DSC01544,1,25,female,0,0,0,0,0.004,0.992,0.003,0.001,35.65944472,139.7025133,68,35,ìy,2019/12/7,2,1,ã{âvç‚
DSC01545,1,25,male,0.029,0.001,0,0,0,0.965,0.005,0,35.65948945,139.7025236,99,54,ìy,2019/12/7,2,1,ã{âvç‚
DSC01547,1,20,female,0,0,0,0,0.001,0.994,0.003,0.002,35.65948972,139.7024911,86,105,ìy,2019/12/7,2,1,ã{âvç‚
DSC01548,1,17,male,0,0,0,0,0,0.993,0.007,0,35.65949889,139.7024764,522,40,ìy,2019/12/7,2,1,ã{âvç‚
DSC01549,1,17,male,0,0,0,0,0,0.999,0.001,0,35.65949556,139.7024725,309,36,ìy,2019/12/7,2,1,ã{âvç‚
DSC01550,1,20,male,0,0,0,0,0.001,0.977,0.001,0.021,35.65949556,139.7024725,452,36,ìy,2019/12/7,2,1,ã{âvç‚
DSC01551,1,6,female,0.002,0.001,0.001,0.003,0.004,0.793,0.003,0.193,35.65950306,139.7024997,242,36,ìy,2019/12/7,2,1,ã{âvç‚
DSC01552,1,23,female,0.003,0,0.001,0.003,0.557,0.101,0.011,0.324,35.65957889,139.7024581,99,78,ìy,2019/12/7,2,1,ã{âvç‚
DSC01553,1,31,male,0,0,0,0,0,0.99,0.009,0,35.65957222,139.7024383,74,105,ìy,2019/12/7,2,1,ã{âvç‚
DSC01554,1,56,male,0,0.005,0,0,0.268,0.725,0.001,0.002,35.65957306,139.7023675,129,105,ìy,2019/12/7,2,1,ã{âvç‚
DSC01555,1,19,male,0,0,0,0,0,0.946,0,0.054,35.65965417,139.7022722,265,35,ìy,2019/12/7,2,1,ã{âvç‚
DSC01556,1,23,male,0,0.004,0,0,0.001,0.993,0.001,0,35.65962667,139.7022419,491,35,ìy,2019/12/7,2,1,ã{âvç‚
DSC01557,1,22,female,0,0,0,0,0,0.962,0.002,0.035,35.65957611,139.7022458,285,35,ìy,2019/12/7,2,1,ã{âvç‚
DSC01558,1,36,male,0.004,0.405,0.001,0,0.004,0.583,0.003,0,35.659495,139.7022114,81,40,ìy,2019/12/7,2,1,ã{âvç‚
DSC01559,1,23,male,0,0.228,0,0,0.027,0.741,0,0.002,35.65951778,139.7023608,87,70,ìy,2019/12/7,2,1,ã{âvç‚
DSC01561,1,18,male,0.01,0.001,0.002,0.01,0,0.699,0.001,0.278,35.65950195,139.7023331,241,36,ìy,2019/12/7,2,1,ã{âvç‚
DSC01563,1,16,female,0.005,0,0.002,0.001,0.866,0.088,0.014,0.024,35.65944889,139.7022739,71,36,ìy,2019/12/7,2,1,ã{âvç‚
DSC02555,1,29,male,0.023,0,0,0,0.003,0.971,0.002,0,35.65942445,139.7020414,66,39,ì˙,2019/12/8,3,1,ã{âvç‚
DSC02556,1,24,female,0,0,0,0,0,0.999,0,0.001,35.65946,139.7021569,107,105,ì˙,2019/12/8,3,1,ã{âvç‚
